scenario,meal_period,cafeteria_id,cafeteria_name,source_mix,teaching_release_mode,residential_release_mode,residential_release_start_minute,residential_release_end_minute,residential_release_peak_minute,residential_release_distribution,residential_participation_rate,total_population_pool,meal_participation_rate,effective_meal_population,teaching_population,other_known_population,residential_population,residential_source_count,residential_by_source_json,residential_by_area_json,residential_allocation_mode,population_estimation_method,simulation_population_scale,teaching_arrived,residential_arrived,total_arrived,num_windows,num_seats,movement_model,avg_wait,avg_queue_wait,avg_seat_wait,peak_queue,peak_waiting_for_seat,window_utilization,seat_utilization,bottleneck_type,fragmented_seats,avg_walking_time,movement_conflict_count,avg_stuck_ticks,max_density
breakfast_residential_window,breakfast,xuehuo,学活餐厅,residential_window_dominant,event,time_window,420,510,465,triangular,0.45,12000,0.55,6600,0,0,2970,17,"{""dorm_12"": 175, ""dorm_14"": 175, ""dorm_19"": 175, ""dorm_22"": 175, ""dorm_23"": 175, ""jiayuan_a"": 175, ""jiayuan_b"": 175, ""jiayuan_c"": 175, ""xueyuan_1"": 175, ""xueyuan_2"": 175, ""xueyuan_3"": 175, ""xueyuan_4"": 175, ""xueyuan_5"": 174, ""xueyuan_6"": 174, ""xueyuan_7"": 174, ""xueyuan_8"": 174, ""xueyuan_9"": 174}","{""主校区编号宿舍楼"": 875, ""嘉园片区"": 525, ""学苑片区"": 1570}",capacity_weight,residual_population_capacity_weight_not_real_occupancy,0.001,0,1,1,5,180,path,3.0,0.0,1.0,0,0,0.0009,0.0002,运行平衡,1,0.0,0,0.0,0
breakfast_residential_window,breakfast,xuehuo,学活餐厅,residential_window_dominant,event,time_window,420,510,465,triangular,0.45,12000,0.55,6600,0,0,2970,17,"{""dorm_12"": 175, ""dorm_14"": 175, ""dorm_19"": 175, ""dorm_22"": 175, ""dorm_23"": 175, ""jiayuan_a"": 175, ""jiayuan_b"": 175, ""jiayuan_c"": 175, ""xueyuan_1"": 175, ""xueyuan_2"": 175, ""xueyuan_3"": 175, ""xueyuan_4"": 175, ""xueyuan_5"": 174, ""xueyuan_6"": 174, ""xueyuan_7"": 174, ""xueyuan_8"": 174, ""xueyuan_9"": 174}","{""主校区编号宿舍楼"": 875, ""嘉园片区"": 525, ""学苑片区"": 1570}",capacity_weight,residual_population_capacity_weight_not_real_occupancy,0.001,0,0,0,5,180,advanced_floor_field,0.0,0.0,0.0,0,0,0.0,0.0,运行平衡,0,0.0,0,0.0,0
breakfast_residential_window,breakfast,minghu,明湖餐厅,residential_window_dominant,event,time_window,420,510,465,triangular,0.45,12000,0.55,6600,0,0,2970,17,"{""dorm_12"": 175, ""dorm_14"": 175, ""dorm_19"": 175, ""dorm_22"": 175, ""dorm_23"": 175, ""jiayuan_a"": 175, ""jiayuan_b"": 175, ""jiayuan_c"": 175, ""xueyuan_1"": 175, ""xueyuan_2"": 175, ""xueyuan_3"": 175, ""xueyuan_4"": 175, ""xueyuan_5"": 174, ""xueyuan_6"": 174, ""xueyuan_7"": 174, ""xueyuan_8"": 174, ""xueyuan_9"": 174}","{""主校区编号宿舍楼"": 875, ""嘉园片区"": 525, ""学苑片区"": 1570}",capacity_weight,residual_population_capacity_weight_not_real_occupancy,0.001,0,0,0,5,180,path,0.0,0.0,0.0,0,0,0.0,0.0,运行平衡,0,0.0,0,0.0,0
breakfast_residential_window,breakfast,minghu,明湖餐厅,residential_window_dominant,event,time_window,420,510,465,triangular,0.45,12000,0.55,6600,0,0,2970,17,"{""dorm_12"": 175, ""dorm_14"": 175, ""dorm_19"": 175, ""dorm_22"": 175, ""dorm_23"": 175, ""jiayuan_a"": 175, ""jiayuan_b"": 175, ""jiayuan_c"": 175, ""xueyuan_1"": 175, ""xueyuan_2"": 175, ""xueyuan_3"": 175, ""xueyuan_4"": 175, ""xueyuan_5"": 174, ""xueyuan_6"": 174, ""xueyuan_7"": 174, ""xueyuan_8"": 174, ""xueyuan_9"": 174}","{""主校区编号宿舍楼"": 875, ""嘉园片区"": 525, ""学苑片区"": 1570}",capacity_weight,residual_population_capacity_weight_not_real_occupancy,0.001,0,0,0,5,180,advanced_floor_field,0.0,0.0,0.0,0,0,0.0,0.0,运行平衡,0,0.0,0,0.0,0
breakfast_residential_window,breakfast,xuesi,学四食堂,residential_window_dominant,event,time_window,420,510,465,triangular,0.45,12000,0.55,6600,0,0,2970,17,"{""dorm_12"": 175, ""dorm_14"": 175, ""dorm_19"": 175, ""dorm_22"": 175, ""dorm_23"": 175, ""jiayuan_a"": 175, ""jiayuan_b"": 175, ""jiayuan_c"": 175, ""xueyuan_1"": 175, ""xueyuan_2"": 175, ""xueyuan_3"": 175, ""xueyuan_4"": 175, ""xueyuan_5"": 174, ""xueyuan_6"": 174, ""xueyuan_7"": 174, ""xueyuan_8"": 174, ""xueyuan_9"": 174}","{""主校区编号宿舍楼"": 875, ""嘉园片区"": 525, ""学苑片区"": 1570}",capacity_weight,residual_population_capacity_weight_not_real_occupancy,0.001,0,2,2,5,180,path,3.0,0.0,1.0,0,0,0.0015,0.0004,运行平衡,1,0.0,0,0.0,0
breakfast_residential_window,breakfast,xuesi,学四食堂,residential_window_dominant,event,time_window,420,510,465,triangular,0.45,12000,0.55,6600,0,0,2970,17,"{""dorm_12"": 175, ""dorm_14"": 175, ""dorm_19"": 175, ""dorm_22"": 175, ""dorm_23"": 175, ""jiayuan_a"": 175, ""jiayuan_b"": 175, ""jiayuan_c"": 175, ""xueyuan_1"": 175, ""xueyuan_2"": 175, ""xueyuan_3"": 175, ""xueyuan_4"": 175, ""xueyuan_5"": 174, ""xueyuan_6"": 174, ""xueyuan_7"": 174, ""xueyuan_8"": 174, ""xueyuan_9"": 174}","{""主校区编号宿舍楼"": 875, ""嘉园片区"": 525, ""学苑片区"": 1570}",capacity_weight,residual_population_capacity_weight_not_real_occupancy,0.001,0,1,1,5,180,advanced_floor_field,8.0,3.0,2.0,0,0,0.0012,0.0002,运行平衡,1,30.0,0,0.0,1
breakfast_residential_window,breakfast,xueyuan,学苑餐厅,residential_window_dominant,event,time_window,420,510,465,triangular,0.45,12000,0.55,6600,0,0,2970,17,"{""dorm_12"": 175, ""dorm_14"": 175, ""dorm_19"": 175, ""dorm_22"": 175, ""dorm_23"": 175, ""jiayuan_a"": 175, ""jiayuan_b"": 175, ""jiayuan_c"": 175, ""xueyuan_1"": 175, ""xueyuan_2"": 175, ""xueyuan_3"": 175, ""xueyuan_4"": 175, ""xueyuan_5"": 174, ""xueyuan_6"": 174, ""xueyuan_7"": 174, ""xueyuan_8"": 174, ""xueyuan_9"": 174}","{""主校区编号宿舍楼"": 875, ""嘉园片区"": 525, ""学苑片区"": 1570}",capacity_weight,residual_population_capacity_weight_not_real_occupancy,0.001,0,1,1,5,180,path,3.0,0.0,1.0,0,0,0.0008,0.0002,运行平衡,1,0.0,0,0.0,0
breakfast_residential_window,breakfast,xueyuan,学苑餐厅,residential_window_dominant,event,time_window,420,510,465,triangular,0.45,12000,0.55,6600,0,0,2970,17,"{""dorm_12"": 175, ""dorm_14"": 175, ""dorm_19"": 175, ""dorm_22"": 175, ""dorm_23"": 175, ""jiayuan_a"": 175, ""jiayuan_b"": 175, ""jiayuan_c"": 175, ""xueyuan_1"": 175, ""xueyuan_2"": 175, ""xueyuan_3"": 175, ""xueyuan_4"": 175, ""xueyuan_5"": 174, ""xueyuan_6"": 174, ""xueyuan_7"": 174, ""xueyuan_8"": 174, ""xueyuan_9"": 174}","{""主校区编号宿舍楼"": 875, ""嘉园片区"": 525, ""学苑片区"": 1570}",capacity_weight,residual_population_capacity_weight_not_real_occupancy,0.001,0,2,2,5,180,advanced_floor_field,10.5,3.0,5.5,0,0,0.0015,0.0003,运行平衡,2,47.5,0,0.0,2
lunch_teaching_event_plus_residential_window,lunch,xuehuo,学活餐厅,teaching_event_plus_residential_window,event,time_window,660,780,720,triangular,0.65,15000,0.75,11250,7400,400,2242,17,"{""dorm_12"": 132, ""dorm_14"": 132, ""dorm_19"": 132, ""dorm_22"": 132, ""dorm_23"": 132, ""jiayuan_a"": 132, ""jiayuan_b"": 132, ""jiayuan_c"": 132, ""xueyuan_1"": 132, ""xueyuan_2"": 132, ""xueyuan_3"": 132, ""xueyuan_4"": 132, ""xueyuan_5"": 132, ""xueyuan_6"": 132, ""xueyuan_7"": 132, ""xueyuan_8"": 131, ""xueyuan_9"": 131}","{""主校区编号宿舍楼"": 660, ""嘉园片区"": 396, ""学苑片区"": 1186}",capacity_weight,residual_population_capacity_weight_not_real_occupancy,0.001,0,0,0,8,300,path,0.0,0.0,0.0,0,0,0.0,0.0,运行平衡,0,0.0,0,0.0,0
lunch_teaching_event_plus_residential_window,lunch,xuehuo,学活餐厅,teaching_event_plus_residential_window,event,time_window,660,780,720,triangular,0.65,15000,0.75,11250,7400,400,2242,17,"{""dorm_12"": 132, ""dorm_14"": 132, ""dorm_19"": 132, ""dorm_22"": 132, ""dorm_23"": 132, ""jiayuan_a"": 132, ""jiayuan_b"": 132, ""jiayuan_c"": 132, ""xueyuan_1"": 132, ""xueyuan_2"": 132, ""xueyuan_3"": 132, ""xueyuan_4"": 132, ""xueyuan_5"": 132, ""xueyuan_6"": 132, ""xueyuan_7"": 132, ""xueyuan_8"": 131, ""xueyuan_9"": 131}","{""主校区编号宿舍楼"": 660, ""嘉园片区"": 396, ""学苑片区"": 1186}",capacity_weight,residual_population_capacity_weight_not_real_occupancy,0.001,2,0,2,8,300,advanced_floor_field,10.5,3.0,5.5,0,0,0.0007,0.0001,运行平衡,2,47.5,0,0.0,2
